time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.00901151,5,3.09228705,3.01400613,-2.14545449,-0.02212524,-1.59310245,-0.35667419,-3.12338458,2.80245400,-1.59553871,-0.00190735,-1.58633512,-2.41241455,-3.12261517,2.78245400,-1.57553871,-0.00190735,-1.58966922,-2.41241455,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.00000000,-0.01464844,-2.98118591,-0.13542175,-0.13542175,-0.02441406
0.01936746,10,3.09228705,3.02010964,-2.15842446,-0.02212524,-1.59310245,-0.35667419,-3.12363670,2.82245400,-1.61553871,-0.00190735,-1.58524260,-2.41241455,-3.12261517,2.78245400,-1.57553871,-0.00190735,-1.58966922,-2.41279602,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.02929688,-2.98118591,-0.13542175,-0.13542175,-0.02441406
0.03010893,15,3.09228705,3.03002786,-2.17749794,-0.02212524,-1.59310245,-0.35667419,-3.12371932,2.84245400,-1.63553871,-0.00190735,-1.58488460,-2.41241455,-3.12261517,2.78245400,-1.57553871,-0.00190735,-1.58928775,-2.41241455,-0.00976562,0.00000000,0.00488281,-0.01464844,0.02929688,-0.01464844,-2.98118591,-0.13542175,-0.13542175,-0.02441406
0.04069591,20,3.09228705,3.03994607,-2.19618996,-0.02212524,-1.59310245,-0.35667419,-3.12374639,2.86245400,-1.65553871,-0.00190735,-1.58476729,-2.41241455,-3.12261517,2.78245400,-1.57553871,-0.00190735,-1.58890628,-2.41241455,-0.00488281,0.00488281,-0.01464844,-0.01464844,0.04394531,-0.01464844,-2.98118591,-0.13542175,-0.13542175,-0.02441406
0.05127048,25,3.09228705,3.04948281,-2.20915993,-0.02212524,-1.59310245,-0.35667419,-3.12375526,2.88245400,-1.67553871,-0.00190735,-1.58472885,-2.41241455,-3.12261517,2.78283547,-1.57592018,-0.00228882,-1.58890628,-2.41279602,-0.00488281,0.03906250,-0.03417969,-0.02929688,0.01464844,-0.01464844,-2.98118591,-0.13542175,-0.13542175,-0.04882812
0.06151557,30,3.09228705,3.05520486,-2.22861489,-0.02212524,-1.59310245,-0.35667419,-3.12375817,2.90245400,-1.69553871,-0.00190735,-1.58471625,-2.41241455,-3.12261517,2.78359841,-1.57668312,-0.00190735,-1.58852481,-2.41279602,-0.00488281,0.05859375,-0.04394531,-0.01464844,0.01464844,0.00000000,-2.98118591,-0.13542175,-0.13542175,-0.02441406
0.07194424,35,3.09228705,3.06436013,-2.24730690,-0.02212524,-1.59310245,-0.35667419,-3.12375912,2.92245400,-1.71553871,-0.00190735,-1.58471213,-2.41241455,-3.12261517,2.78436135,-1.57744606,-0.00190735,-1.58852481,-2.41241455,-0.00488281,0.07324219,-0.07812500,-0.01464844,0.01464844,-0.02929688,-2.98118591,-0.13542175,-0.13542175,-0.02441406
0.08274341,40,3.09228705,3.07084512,-2.25951393,-0.02212524,-1.59310245,-0.35667419,-3.12375943,2.94245400,-1.73553871,-0.00190735,-1.58471078,-2.41241455,-3.12261517,2.78474282,-1.57820900,-0.00190735,-1.58852481,-2.41241455,-0.00976562,0.05371094,-0.06835938,-0.01464844,0.01464844,-0.01464844,-2.98118591,-0.13542175,-0.13542175,-0.02441406
0.09310627,45,3.09228705,3.08076333,-2.27858742,-0.02212524,-1.59310245,-0.35667419,-3.12375953,2.96245400,-1.75553871,-0.00190735,-1.58471033,-2.41241455,-3.12261517,2.78588723,-1.57935341,-0.00228882,-1.58852481,-2.41241455,-0.00976562,0.09765625,-0.11230469,-0.07324219,0.02929688,0.00000000,-2.98118591,-0.13542175,-0.13542175,0.00000000
0.10376143,50,3.09228705,3.08953713,-2.29727944,-0.02212524,-1.59310245,-0.35667419,-3.12375957,2.98245400,-1.77553871,-0.00190735,-1.58471019,-2.41241455,-3.12261517,2.78665017,-1.58087929,-0.00228882,-1.58852481,-2.41241455,-0.00976562,0.07324219,-0.15625000,-0.01464844,0.01464844,-0.01464844,-2.98118591,-0.13542175,-0.13542175,-0.02441406
